,merchant,category,amt,gender,street,city,state,zip,lat,long,city_pop,job,unix_time,age,month,year,is_fraud
2220,Baumbach Strosin  Nicolas,shopping_pos,835.73,M,39631 Dunn Radial,Grantham,NH,3753,43.5103,-72.1334,2971,Charity fundraiser,1335047617,76,4,2019,1
2221,Weimann Lockman,kids_pets,41.25,F,561 Little Plain Apt. 738,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,1357996627,52,1,2020,0
2222,Kling Howe  Schneider,home,49.07,M,838 Amy Street Suite 107,Pembroke,NC,28372,34.6902,-79.1834,14783,Hospital doctor,1339876822,69,6,2019,0
2223,Nolan Williamson,kids_pets,198.57,F,6638 Lucero Mill Suite 952,Karnack,TX,75661,32.6205,-94.2,2807,Chiropodist,1363111204,93,3,2020,0
2224,O'Keefe Hudson,grocery_pos,296.06,M,9242 Vanessa Ramp Apt. 525,Smithfield,IL,61477,40.4855,-90.2856,631,Futures trader,1336257355,51,5,2019,1
2225,Bashirian Group,shopping_net,923.03,F,2807 Parker Station Suite 080,Stanchfield,MN,55080,45.6675,-93.2433,2607,Lecturer,1357763365,29,1,2020,1
2226,Zemlak Group,misc_net,676.71,F,1007 Colton Forks,Hopewell,VA,23860,37.2876,-77.295,31970,Purchasing manager,1364855986,89,4,2020,1
2227,Kautzer  Sons,personal_care,20.51,M,572 Davis Mountains,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,1335396296,25,4,2019,1
2228,Zemlak Group,misc_net,739.44,F,598 Martin Pine Suite 365,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,1360545842,53,2,2020,1
2229,Hoppe Parisian,kids_pets,138.27,F,166 Lisa Fords,Greenwood,IN,46143,39.596,-86.1309,78968,Financial adviser,1344184273,56,8,2019,0
2230,Stark Batz,entertainment,16.67,F,670 Le Meadows Suite 250,Lakeland,FL,33811,27.9865,-82.0139,237282,Clothing,1356788725,45,12,2019,0
2231,Mohr Bayer,shopping_net,1162.35,M,368 Rollins Fort Apt. 076,Aurora,CO,80019,39.7656,-104.7069,389246,Industrial,1332695429,86,3,2019,1
2232,Ferry Lynch  Kautzer,misc_net,790.17,M,69085 Short Shores,Allentown,NY,14707,42.0737,-78.0594,239,Radio producer,1343513371,68,7,2019,1
2233,Kuhn Group,food_dining,139.45,M,351 Darlene Green,Columbia,SC,29209,33.9659,-80.9355,333497,Mechanical engineer,1355958715,56,12,2019,1
2234,Conroy Cruickshank,gas_transport,74.1,F,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,Scientist,1371715775,26,6,2020,0
2235,Renner Ltd,home,87.11,M,4936 Michelle Points,Tower Hill,IL,62571,39.39,-88.9597,1532,Radio broadcast assistant,1343496934,44,7,2019,0
2236,Schumm Bauch  Ondricka,grocery_pos,49.75,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,Psychologist,1327678500,26,1,2019,0
2237,Dietrich Fadel,health_fitness,53.12,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1373136873,71,7,2020,0
2238,Haley Jewess  Bechtelar,shopping_pos,1074.88,M,428 Morgan River,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1374840160,26,7,2020,0
2239,Nitzsche Kessler  Wolff,shopping_pos,144.38,F,576 House Crossroad,West Sayville,NY,11796,40.732,-73.1,4056,Film,1371330740,34,6,2020,0
2240,Stiedemann Ltd,food_dining,55.68,M,220 Frank Gardens,Hewitt,WI,54441,44.6437,-90.1031,828,Arts development officer,1357397731,33,1,2020,0
2241,Emard Inc,gas_transport,72.1,M,7290 Ashlee Keys,Kissee Mills,MO,65680,36.6704,-93.0377,1201,Engineer,1338896507,44,6,2019,0
2242,Kunde Sanford,misc_net,835.69,M,3539 Mckenzie Stream,Fairview,NJ,7022,40.817,-74.0,13835,Programmer,1370213875,57,6,2020,1
2243,Ernser Feest,home,264.64,F,3638 Marsh Union,Altonah,UT,84002,40.3207,-110.436,302,Sales professional,1371768282,34,6,2020,1
2244,Osinski Ledner  Leuschke,grocery_pos,359.25,M,0110 Ashley Forest,Tekoa,WA,99033,47.2271,-117.0819,895,Clothing,1344563428,25,8,2019,1
2245,Kunze Inc,grocery_pos,331.13,F,736 Moss Motorway Suite 549,Humboldt,AZ,86329,34.5189,-112.2523,1179,Civil engineer,1347645268,69,9,2019,1
2246,Stracke Lemke,grocery_pos,259.83,M,1471 Alicia Flat Apt. 993,Springfield Gardens,NY,11413,40.6645,-73.7559,38912,Production manager,1351728507,63,11,2019,1
2247,Fahey Inc,kids_pets,67.92,M,1339 Johnson Landing Suite 007,De Lancey,NY,13752,42.18899999999999,-74.9229,782,Chartered accountant,1329142528,24,2,2019,0
2248,Murray Smitham,grocery_pos,305.65,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,34.9889,-106.0609,7268,Therapist,1350523515,36,10,2019,1
2249,Rippin Kub  Mann,misc_net,826.39,F,0043 Henry Plaza,Brantley,AL,36009,31.571,-86.2743,2566,Exercise physiologist,1333927208,66,4,2019,1
2250,Bednar Group,misc_net,70.1,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1348893680,49,9,2019,0
2251,Kihn Fritsch,food_dining,73.28,F,6638 Lucero Mill Suite 952,Karnack,TX,75661,32.6205,-94.2,2807,Chiropodist,1387822567,93,12,2020,0
2252,Volkman Ltd,misc_net,685.26,M,0912 Mark Fields Apt. 080,Mc Veytown,PA,17051,40.5046,-77.7186,4653,Nutritional therapist,1326684670,27,1,2019,1
2253,Donnelly PLC,misc_net,794.37,M,24255 Bryan Square,Palermo,ND,58769,48.3396,-102.24,229,Administrator,1363800070,41,3,2020,1
2254,Hilpert Conroy,kids_pets,225.51,F,659 Nicole Cove Suite 560,New Waverly,TX,77358,30.5354,-95.4532,4993,Scientist,1337282189,76,5,2019,0
2255,Mosciski Gislason  Mertz,grocery_pos,284.12,M,81446 Nicole Highway Apt. 874,Richland,NJ,8350,39.485,-74.8776,825,Licensed conveyancer,1383447170,33,11,2020,1
2256,Jacobi  Sons,shopping_pos,2.29,F,5449 Brandi Heights Apt. 111,Tulsa,OK,74130,36.2395,-95.9596,413574,Bookseller,1356136342,56,12,2019,0
2257,Metz Russel  Metz,kids_pets,29.79,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1342994756,34,7,2019,0
2258,Huel Hammes  Witting,grocery_pos,284.94,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1372636115,72,6,2020,1
2259,Bode Schuster,kids_pets,1.18,F,08056 Alvarado Club Suite 699,Phoenix,AZ,85086,33.8155,-112.1202,1312922,Counselling psychologist,1376827812,25,8,2020,0
2260,Rowe Batz  Goodwin,grocery_pos,306.03,M,609 Hunt Grove,Saint Francis,KY,40062,37.6047,-85.4251,301,Research officer,1354317896,57,11,2019,1
2261,Douglas Schneider  Turner,shopping_pos,852.98,F,554 Mcdonald Valley Apt. 539,Meridian,TX,76665,31.929,-97.6443,2526,Phytotherapist,1351846232,54,11,2019,1
2262,Jakubowski Inc,home,5.35,F,3595 Susan Island Suite 063,Thomas,OK,73669,35.7382,-98.7388,1675,Barrister,1332545310,38,3,2019,0
2263,Labadie Treutel  Bode,shopping_net,982.68,F,598 Martin Pine Suite 365,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,1360634646,53,2,2020,1
2264,Sawayn PLC,shopping_pos,1.7,F,68276 Matthew Springs,Ratcliff,TX,75858,31.3833,-95.0619,43,Engineer,1371189415,75,6,2020,0
2265,Bradtke PLC,grocery_pos,110.57,M,8465 Reed Green Suite 559,Montandon,PA,17850,40.9661,-76.8575,645,Orthoptist,1381625056,50,10,2020,0
2266,Friesen D'Amore,gas_transport,48.71,F,128 Nathan Ramp,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,1373772014,30,7,2020,0
2267,Langosh Wintheiser  Hyatt,food_dining,68.24,M,838 Dan Haven Suite 003,Webster City,IA,50595,42.4657,-93.8262,9165,Medical secretary,1325381944,61,1,2019,0
2268,Quitzon Green  Bashirian,shopping_pos,744.69,F,6963 Russell Causeway Suite 231,Galatia,IL,62935,37.8274,-88.6235,1943,Restaurant manager,1327670160,53,1,2019,1
2269,Kovacek Dibbert  Ondricka,grocery_pos,374.57,F,47035 Murray Harbors,Achille,OK,74720,33.8396,-96.3648,608,Seismic interpreter,1367544057,31,5,2020,1
2270,Yost Schamberger  Windler,kids_pets,1.05,F,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,Research officer,1335139017,40,4,2019,0
2271,Conroy Ltd,shopping_pos,9.19,F,37426 Olson Villages,Irvine,PA,16329,41.8117,-79.2643,528,Chief Marketing Officer,1379338074,52,9,2020,0
2272,Kihn Fritsch,food_dining,89.22,F,194 Goodman Fall Apt. 569,Burlington,WA,98233,48.4786,-122.3345,14871,Public house manager,1350419181,50,10,2019,0
2273,Smith Stokes,misc_pos,85.31,F,144 Evans Islands Apt. 683,Burbank,WA,99323,46.1966,-118.9017,3684,Musician,1367581857,43,5,2020,0
2274,Donnelly LLC,entertainment,4.82,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,Therapist,1386972345,25,12,2020,0
2275,Quitzon Goyette,home,27.69,F,9808 Ellis Bypass,Mount Morris,NY,14510,42.6835,-77.8664,4895,Acupuncturist,1348609313,66,9,2019,0
2276,Kutch LLC,gas_transport,73.63,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,1369906708,53,5,2020,0
2277,Cole PLC,grocery_pos,313.89,F,125 Kristen Dale,Grand Ridge,FL,32442,30.7148,-85.021,3699,Art gallery manager,1360813869,76,2,2020,1
2278,Thiel Ltd,travel,3.43,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1372631306,50,6,2020,0
2279,Zieme Bode  Dooley,gas_transport,8.45,M,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,1380336041,82,9,2020,1
2280,Welch Inc,misc_net,806.06,M,0207 Griffith Plains Apt. 544,Louisiana,MO,63353,39.4336,-91.0664,4593,Teacher,1367446461,84,5,2020,1
2281,Jast Ltd,shopping_net,886.79,F,27823 Andrew Underpass Suite 948,Metairie,LA,70003,29.9975,-90.2146,137067,Advertising account planner,1369332337,73,5,2020,1
2282,Hudson Ratke,grocery_pos,304.1,M,715 Courtney Pike Suite 932,Keller,TX,76248,32.9276,-97.2489,95035,Probation officer,1354584210,37,12,2019,1
2283,Mante Group,misc_net,725.34,F,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,Engineer,1378245698,98,9,2020,1
2284,Hills Hegmann  Schaefer,health_fitness,22.43,F,94431 Matthew Mall Suite 296,Plymouth,CT,6782,41.6611,-73.0449,2376,Herpetologist,1377041269,51,8,2020,1
2285,Rohan White  Aufderhar,misc_net,880.4,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,Engineer,1358646697,47,1,2020,1
2286,Gottlieb Considine  Schultz,shopping_net,1179.79,M,766 Potter Well,West Chazy,NY,12992,44.797,-73.5112,4778,Engineering geologist,1332371685,70,3,2019,1
2287,Ferry Lynch  Kautzer,misc_net,696.68,M,265 Mullen Park Apt. 307,Summerfield,NC,27358,36.2245,-79.8901,14075,Buyer,1363821038,95,3,2020,1
2288,Leffler Goldner,personal_care,20.25,F,9297 Victor Rest Apt. 382,Albuquerque,NM,87116,35.0561,-106.5506,641349,Charity officer,1329170409,57,2,2019,1
2289,Kozey Kuhlman,personal_care,21.09,M,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,1339688203,78,6,2019,0
2290,Lynch Ltd,shopping_pos,847.92,M,296 Maria Street,West Eaton,NY,13484,42.8546,-75.6605,176,Science writer,1380813517,61,10,2020,1
2291,Friesen Inc,shopping_pos,2.46,M,2123 Jonathan Falls Suite 753,Heiskell,TN,37754,36.115,-84.0438,4729,Geologist,1364674306,42,3,2020,0
2292,Bahringer Group,health_fitness,18.08,M,368 Rollins Fort Apt. 076,Aurora,CO,80019,39.7656,-104.7069,389246,Industrial,1332713007,86,3,2019,1
2293,Rau  Sons,grocery_pos,282.82,M,2064 Tyler Fork,Beasley,TX,77417,29.479,-95.9681,2457,Trading standards officer,1333435957,43,4,2019,1
2294,Spinka Welch,grocery_net,53.45,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1366109752,49,4,2020,0
2295,Greenholt O'Hara  Balistreri,shopping_net,1077.25,M,98897 Bennett Lodge,Bessemer,AL,35022,33.3224,-86.9657,71463,Radio broadcast assistant,1378076353,35,9,2020,1
2296,Kuphal Predovic,misc_net,837.11,F,4900 Curtis Gardens Suite 952,Hahira,GA,31632,30.9416,-83.3574,10295,Teacher,1333163808,27,3,2019,1
2297,Schmidt  Sons,shopping_net,1061.9,M,4130 Tiffany Glen Apt. 562,San Antonio,TX,78248,29.5894,-98.5201,1595797,Exhibition designer,1357339615,49,1,2020,1
2298,Bailey Morar,grocery_pos,295.06,M,822 Austin Spur,North Judson,IN,46366,41.2244,-86.6966,5791,Doctor,1343183294,65,7,2019,1
2299,Harris Group,food_dining,118.24,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1380061789,52,9,2020,1
2300,Herzog Ltd,misc_pos,3.12,F,6638 Lucero Mill Suite 952,Karnack,TX,75661,32.6205,-94.2,2807,Chiropodist,1354244555,93,11,2019,0
2301,Connelly Reichert  Fritsch,gas_transport,29.93,F,35737 Kirby Fall Suite 409,Vanderbilt,PA,15486,40.0246,-79.6955,2303,Physiotherapist,1387161432,37,12,2020,0
2302,Stracke Lemke,grocery_pos,80.49,F,222 Freeman Islands,Whigham,GA,39897,30.8836,-84.3246,3430,Editor,1330218764,74,2,2019,0
2303,Sawayn PLC,shopping_pos,145.66,M,5554 Mack Meadows,Premier,WV,24878,37.3752,-81.6539,337,Advice worker,1379845817,38,9,2020,0
2304,Connelly PLC,food_dining,56.76,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1372545620,44,6,2020,0
2305,O'Connell Ullrich,home,240.97,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1370617358,37,6,2020,1
2306,Turner  Sons,shopping_pos,801.12,F,062 Carl Dam,Altona,NY,12910,44.8816,-73.6408,2148,Surveyor,1354114500,71,11,2019,1
2307,Reichert Rowe  Mraz,shopping_net,986.88,M,88325 Brandon Greens Apt. 477,Detroit,MI,48202,42.377,-83.0796,673342,Broadcast presenter,1347407979,55,9,2019,1
2308,Daugherty Thompson,food_dining,120.57,M,426 Mark Ports,Brooklin,ME,4616,44.2541,-68.5565,824,Loss adjuster,1352416116,50,11,2019,1
2309,Powlowski Weimann,food_dining,95.94,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,Psychotherapist,1326148553,34,1,2019,1
2310,Bashirian Group,shopping_net,7.96,F,000 Jennifer Mills,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,1380895154,40,10,2020,0
2311,Conroy Ltd,shopping_pos,957.09,F,48437 English Ways Suite 579,La Grande,OR,97850,45.3304,-118.0852,16955,Engineer,1328741134,63,2,2019,1
2312,Lockman West  Runte,grocery_pos,284.14,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,Editor,1375950342,45,8,2020,1
2313,Schmeler Bashirian  Price,shopping_net,980.76,F,010 Salazar Walk,Cromona,KY,41810,37.1788,-82.695,502,Chief Financial Officer,1341095122,64,6,2019,1
2314,Huel Hammes  Witting,grocery_pos,287.93,M,8925 Nicholas Points,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,1347490829,52,9,2019,1
2315,Zulauf LLC,personal_care,35.18,F,4529 Cannon Alley,Center Point,WV,26339,39.4125,-80.6352,255,Chief Executive Officer,1384104998,53,11,2020,0
2316,Kunde Sanford,misc_net,197.36,F,4293 Ramirez Squares,Ranier,MN,56668,48.6031,-93.2977,136,Ceramics designer,1380377147,24,9,2020,0
2317,Gottlieb Considine  Schultz,shopping_net,1034.33,F,9853 Flynn Hollow Apt. 602,Reynolds,ND,58275,47.7068,-97.2092,733,Visual merchandiser,1375401720,30,8,2020,1
2318,Kozey Boehm,shopping_net,1000.46,M,27203 Darrell Landing,Saint James City,FL,33956,26.529,-82.0916,3776,Sport and exercise psychologist,1329257384,48,2,2019,1
2319,Bernhard Grant  Langworth,shopping_pos,2.91,M,39631 Dunn Radial,Grantham,NH,3753,43.5103,-72.1334,2971,Charity fundraiser,1383306765,76,11,2020,0
2320,Lebsack  Sons,misc_net,698.9,F,477 Alejandro Knolls Suite 828,Gardiner,OR,97441,43.7857,-124.1437,260,Engineer,1360968690,68,2,2020,1
2321,Beier Hyatt,shopping_pos,916.68,M,5045 Emily Wall,Princeton,IA,52768,41.6858,-90.3706,1426,Agricultural consultant,1387059924,67,12,2020,1
2322,Kutch  Sons,grocery_pos,135.17,M,622 Bradley Knoll Apt. 758,Hancock,MD,21750,39.6991,-78.1762,3766,Press photographer,1330600921,40,3,2019,0
2323,Schmitt Inc,gas_transport,20.17,F,6611 Parrish Garden Apt. 428,Waynesfield,OH,45896,40.6072,-83.9585,2089,Building control surveyor,1349137544,61,10,2019,1
2324,Kassulke Inc,entertainment,169.08,M,9554 Flores Drive,Arnold,MO,63010,38.4305,-90.387,35439,Land,1337724022,39,5,2019,0
2325,Schimmel Olson,kids_pets,62.72,F,03030 White Lakes,Grandview,TX,76050,32.2779,-97.2351,5875,Radiographer,1387282550,32,12,2020,0
2326,Ruecker Beer  Collier,shopping_net,950.19,F,31701 Tucker Square Suite 893,Wilton,ND,58579,47.1709,-100.7944,1190,Designer,1376349436,76,8,2020,1
2327,Nitzsche Kessler  Wolff,shopping_pos,3.44,M,0495 Baker Manors,Oriskany Falls,NY,13425,42.9576,-75.4838,1970,Programmer,1370415394,75,6,2020,0
2328,Auer West,shopping_net,338.51,F,639 Cruz Islands,Baroda,MI,49101,41.9488,-86.4913,3104,Horticulturist,1369226510,43,5,2020,0
2329,Bogisich Homenick,misc_net,773.79,M,86882 Desiree Camp Suite 047,Tyaskin,MD,21865,38.2833,-75.8465,470,Music tutor,1331508785,59,3,2019,1
2330,Heidenreich PLC,grocery_pos,261.14,F,0107 Clements Point,American Fork,UT,84003,40.3928,-111.7941,42384,Futures trader,1341739329,32,7,2019,0
2331,Padberg Welch,grocery_pos,326.57,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1356911087,48,12,2019,1
2332,Kiehn Emmerich,grocery_pos,293.95,M,941 Adam Stravenue,Nazareth,TX,79063,34.5444,-102.1069,686,Petroleum engineer,1328236797,44,2,2019,1
2333,Johns Inc,entertainment,1.42,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1388491648,31,12,2020,0
2334,Hagenes Hermann  Stroman,travel,8.03,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,1381519705,59,10,2020,0
2335,Streich Rolfson  Wilderman,kids_pets,75.7,M,28711 Kristine Junction Suite 309,Greenville,OH,45331,40.0987,-84.6342,22930,Media planner,1343909739,53,8,2019,0
2336,Dooley Inc,shopping_pos,9.78,F,20581 Pena Walks,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum,1352323034,32,11,2019,0
2337,Jaskolski Vervort,misc_net,650.64,M,490 Baldwin Alley Apt. 468,Crownpoint,NM,87313,35.7206,-108.0271,5662,IT consultant,1355274403,35,12,2019,1
2338,Kuhn LLC,misc_net,734.62,F,6760 Donovan Lakes,Clayton,OK,74536,34.5906,-95.38,1760,Occupational psychologist,1355279983,52,12,2019,1
2339,Mraz Herzog,gas_transport,72.97,M,22502 Baker Mount Suite 241,Hazel,KY,42049,36.5422,-88.3319,1480,Designer,1369732435,50,5,2020,0
2340,Langworth Boehm  Gulgowski,shopping_net,1113.79,F,7600 Stephen Course Suite 031,Red River,NM,87558,36.6659,-105.4694,606,Surveyor,1362118525,36,3,2020,1
2341,Friesen Stamm,gas_transport,8.27,F,880 Andrea Greens Suite 241,Crouse,NC,28033,35.4359,-81.3385,2749,Armed forces technical officer,1327810724,27,1,2019,1
2342,Swaniawski Lowe  Robel,shopping_pos,8.86,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1381578057,83,10,2020,0
2343,Bashirian Group,shopping_net,93.63,M,495 Fisher Throughway,Grand Junction,TN,38039,35.0659,-89.1534,1804,Clothing,1331033842,50,3,2019,0
2344,Du Buque LLC,grocery_pos,307.77,F,53199 Laurie Mills Apt. 864,Kirtland,NM,87417,36.741,-108.351,6910,TEFL teacher,1380320308,68,9,2020,1
2345,Torp Labadie,gas_transport,12.78,F,7178 Willis Drive,Hooper,NE,68031,41.6414,-96.5232,1745,Engineer,1376624835,51,8,2020,1
2346,Kiehn Emmerich,grocery_pos,97.62,F,5745 Blair Locks,West Columbia,SC,29170,33.9568,-81.1405,52126,Chemical engineer,1380769978,95,10,2020,0
2347,Harber Inc,gas_transport,11.82,M,22502 Baker Mount Suite 241,Hazel,KY,42049,36.5422,-88.3319,1480,Designer,1355452903,50,12,2019,1
2348,Cole PLC,grocery_pos,349.61,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,Therapist,1368148815,66,5,2020,1
2349,Volkman Predovic,shopping_net,926.69,F,835 Reese Views Suite 884,Hopkins,SC,29061,33.9349,-80.8449,13717,Chiropodist,1359672766,75,1,2020,1
2350,Ledner Hartmann  Feest,health_fitness,19.77,F,213 Gill Expressway,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,1381016418,53,10,2020,1
2351,Bernhard Grant  Langworth,shopping_pos,139.37,M,109 Brian Lights Apt. 504,Shippingport,PA,15077,40.6025,-80.3863,198,Secretary,1359425018,46,1,2020,0
2352,Champlin Casper,home,32.45,F,083 Karen Island Apt. 656,Goreville,IL,62939,37.575,-88.9655,3119,Teacher,1358611056,82,1,2020,0
2353,Fisher Schowalter,shopping_net,47.33,F,50932 Neal Valley,Daniels,WV,25832,37.7256,-81.1087,3994,Biochemist,1366196052,88,4,2020,0
2354,Kihn Fritsch,food_dining,90.5,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,1388112154,60,12,2020,0
2355,Koss  Sons,gas_transport,11.82,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1372295665,42,6,2020,1
2356,Du Buque LLC,grocery_pos,298.93,M,133 Alyssa Plains,Lolita,TX,77971,28.7724,-96.4793,911,Archaeologist,1348365063,54,9,2019,1
2357,Haley Group,misc_pos,757.05,F,2870 Bean Terrace Apt. 756,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,1371279987,43,6,2020,1
2358,Jones Sawayn  Romaguera,misc_net,799.67,M,1198 Robert Stravenue Apt. 479,Armonk,NY,10504,41.136,-73.7009,7987,Television,1350686284,60,10,2019,1
2359,Feil Morar,health_fitness,29.68,F,2788 Brittney Island,Blairstown,MO,64726,38.5319,-93.9221,467,Agricultural consultant,1387214765,74,12,2020,0
2360,Schoen Kuphal  Nitzsche,grocery_pos,91.2,M,7566 Thompson Creek Apt. 827,Elkhart,IA,50073,41.8114,-93.4855,1195,Trading standards officer,1381391540,50,10,2020,0
2361,Weimann Kuhic  Beahan,shopping_pos,766.4,M,6366 French Field,Margaretville,NY,12455,42.1852,-74.6178,1988,Environmental health practitioner,1371509319,46,6,2020,1
2362,Dickinson Ltd,misc_pos,939.91,F,2870 Bean Terrace Apt. 756,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,1371178347,43,6,2020,1
2363,Armstrong Walter  Gottlieb,food_dining,119.77,F,6014 Thomas Throughway,Trenton,TX,75490,33.4235,-96.3398,2211,Investment banker,1374877282,37,7,2020,1
2364,Stark Batz,entertainment,89.51,F,4938 Hatfield Course,Henderson,WV,25106,38.8265,-82.1364,642,Building services engineer,1387755365,78,12,2020,0
2365,Wuckert Walter,grocery_net,13.13,F,386 Randolph Throughway,Warren,OH,44483,41.2639,-80.8164,75903,Magazine features editor,1328062061,67,2,2019,1
2366,Huels Nolan,gas_transport,80.59,F,4511 Choi Lock,Delhi,LA,71232,32.3929,-91.4714,6581,Multimedia programmer,1374217761,60,7,2020,0
2367,Fahey Inc,kids_pets,42.93,F,508 Erin Mount,Daly City,CA,94015,37.6787,-122.478,107941,Buyer,1376768689,33,8,2020,0
2368,Frami Group,entertainment,41.92,M,35822 Clayton Street Apt. 679,Great Mills,MD,20634,38.2674,-76.4954,5927,Art therapist,1342730423,51,7,2019,0
2369,Beier  Sons,home,115.6,M,6340 Jeffrey Dale,Thornville,OH,43076,39.8974,-82.4071,9051,Audiological scientist,1373738494,41,7,2020,0
2370,Hoppe Harris  Bednar,entertainment,115.62,F,02110 Lucas Freeway Suite 517,Battle Creek,IA,51006,42.3327,-95.6045,1075,Teacher,1376522192,27,8,2020,0
2371,Simonis Prohaska,misc_pos,8.32,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,1340076768,40,6,2019,1
2372,Denesik Powlowski  Pouros,home,34.38,F,199 Patterson Fords Apt. 132,Naples,FL,34112,26.1184,-81.7361,276002,Pilot,1342826628,90,7,2019,0
2373,Waelchi Wolf,kids_pets,45.92,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,1339512721,40,6,2019,0
2374,Hettinger Mc Cullough  Fay,home,1.34,M,956 Sanchez Highway,Mallie,KY,41836,37.2692,-82.9161,798,Facilities manager,1365005892,98,4,2020,0
2375,Koepp Parker,grocery_pos,359.86,M,5155 Mary Common Apt. 927,Utica,PA,16362,41.4798,-79.9403,1102,Garment,1342216981,35,7,2019,1
2376,Koepp Witting,grocery_pos,204.68,F,000 Jennifer Mills,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,1347188513,40,9,2019,0
2377,Koss  Sons,gas_transport,23.87,F,3522 Park Wells Suite 528,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,1339723450,29,6,2019,0
2378,Kiehn Inc,grocery_pos,319.12,M,33010 Ford Harbor Apt. 887,Moss Point,MS,39562,30.5471,-88.4927,31702,Television production assistant,1369867374,90,5,2020,1
2379,Rutherford Mertz,grocery_pos,295.18,M,133 Alyssa Plains,Lolita,TX,77971,28.7724,-96.4793,911,Archaeologist,1348282878,54,9,2019,1
2380,Schmitt Ltd,misc_net,658.57,F,28777 Stewart Plains Apt. 495,Putnam,IL,61560,41.1949,-89.4409,754,Presenter,1350772945,62,10,2019,1
2381,Jakubowski Inc,home,73.69,M,6458 Roberson Alley,Williamsburg,MO,63388,38.8874,-91.7689,710,Glass blower,1352308776,54,11,2019,0
2382,Grimes LLC,entertainment,104.46,M,95351 Sullivan Viaduct Apt. 239,Port Charlotte,FL,33981,26.9379,-82.2388,79008,Quantity surveyor,1339610108,40,6,2019,0
2383,Mosciski Gislason  Mertz,grocery_pos,343.12,F,477 Alejandro Knolls Suite 828,Gardiner,OR,97441,43.7857,-124.1437,260,Engineer,1360805015,68,2,2020,1
2384,Kertzmann LLC,health_fitness,51.12,F,81708 Christopher Plaza,Jordanville,NY,13361,42.8948,-74.8209,824,Travel agency manager,1374678258,39,7,2020,0
